trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
106,False,"{'a': 0.1723060916737588, 'e': 0.3446121833475176}",25,0,4.562155873886021,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
107,False,"{'a': 0.17058303075702122, 'e': 0.34116606151404244}",20,0,-65.17476918145107,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
108,False,"{'a': 0.168877200449451, 'e': 0.337754400898902}",25,5,-15.721195592925444,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
109,False,"{'a': 0.1671884284449565, 'e': 0.334376856889913}",20,0,-20.797332611078815,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
110,False,"{'a': 0.16551654416050693, 'e': 0.33103308832101386}",25,0,34.49731124056114,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
111,False,"{'a': 0.16386137871890186, 'e': 0.3277227574378037}",25,0,-43.28991979309393,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",0
112,False,"{'a': 0.16222276493171284, 'e': 0.3244455298634257}",25,11,22.1392979129957,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.1606005372823957, 'e': 0.3212010745647914}",20,0,-64.69467775435936,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 2}",0
114,False,"{'a': 0.15899453190957175, 'e': 0.3179890638191435}",35,0,-18.857383728281572,"{0: 31, 1: 2, 2: 1, 3: 0, 4: 1}",0
115,False,"{'a': 0.15740458659047601, 'e': 0.31480917318095203}",25,18,-0.6777363752604317,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.15583054072457125, 'e': 0.3116610814491425}",30,0,-120.85563268467497,"{0: 25, 1: 0, 2: 1, 3: 1, 4: 3}",0
117,False,"{'a': 0.15427223531732553, 'e': 0.30854447063465107}",30,18,15.47902619317558,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.1527295129641523, 'e': 0.3054590259283046}",25,9,-29.01864041556543,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
119,False,"{'a': 0.15120221783451077, 'e': 0.30240443566902153}",35,7,-95.09274773673992,"{0: 23, 1: 0, 2: 1, 3: 2, 4: 2}",1
120,False,"{'a': 0.14969019565616565, 'e': 0.2993803913123313}",20,13,5.549146777923596,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.148193293699604, 'e': 0.296386587399208}",20,0,-7.501203874956647,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
122,False,"{'a': 0.14671136076260796, 'e': 0.2934227215252159}",20,6,13.937230780601425,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
123,False,"{'a': 0.14524424715498188, 'e': 0.29048849430996376}",20,1,-98.10690611539366,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 1}",1
124,False,"{'a': 0.14379180468343206, 'e': 0.2875836093668641}",20,13,10.988589932364016,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.14235388663659773, 'e': 0.28470777327319546}",25,7,13.219162353052889,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.14093034777023175, 'e': 0.2818606955404635}",20,0,-29.9724958077707,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
127,False,"{'a': 0.13952104429252943, 'e': 0.27904208858505886}",35,23,-11.749838461969198,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
